"country","iso2c","iso3c","year","arrivals","gdp_pc","gdp_growth","reer","population"
"Argentina","AR","ARG",1995,2289000,9934.10776139515,-2.84520961057079,NA,35070020
"Argentina","AR","ARG",1996,2614000,10352.1400002191,5.52668982715234,NA,35513793
"Argentina","AR","ARG",1997,2764000,11056.6881331002,8.1110467707457,NA,35947791
"Argentina","AR","ARG",1998,3012000,11348.2022124673,3.85017885156228,NA,36372860
"Argentina","AR","ARG",1999,2898000,10838.3199346387,-3.38545704063269,NA,36794682
"Argentina","AR","ARG",2000,2909000,10631.6503639029,-0.78899893905691,NA,37213984
"Argentina","AR","ARG",2001,2620000,10051.9448463043,-4.40883968258557,NA,37624825
"Argentina","AR","ARG",2002,2820000,8861.56199282278,-10.8944848285903,NA,38029349
"Argentina","AR","ARG",2003,2995000,9545.53194119994,8.83704079576924,NA,38424282
"Argentina","AR","ARG",2004,3457000,10302.4465316428,9.02957330068152,NA,38815916
"Argentina","AR","ARG",2005,3823000,11099.7509190602,8.85165992013437,NA,39216789
"Argentina","AR","ARG",2006,4173000,11870.2791559298,8.04715150043027,NA,39622115
"Argentina","AR","ARG",2007,4562000,12811.9021206578,9.00765087504757,NA,40016763
"Argentina","AR","ARG",2008,4700000,13197.3570267029,4.05723310346406,NA,40424148
"Argentina","AR","ARG",2009,4308000,12285.3784651865,-5.91852507634947,NA,40854831
"Argentina","AR","ARG",2010,6800000,13387.1553748458,10.1253981561002,NA,41288694
"Argentina","AR","ARG",2011,6703000,14040.6189124444,6.00395169280579,NA,41730660
"Argentina","AR","ARG",2012,6497000,13754.4254235596,-1.0264204544321,NA,42161721
"Argentina","AR","ARG",2013,6510000,13946.0950832252,2.40532378079436,NA,42582455
"Argentina","AR","ARG",2014,7165000,13456.1319159151,-2.51261532081394,NA,43024071
"Argentina","AR","ARG",2015,6816000,13679.6264980954,2.73115982828944,NA,43477012
"Argentina","AR","ARG",2016,6668000,13265.8860639123,-2.08032784377811,NA,43900313
"Argentina","AR","ARG",2017,6711000,13520.1129846159,2.81850297775918,NA,44288894
"Argentina","AR","ARG",2018,6942000,13058.3285449954,-2.61739646282038,NA,44654882
"Argentina","AR","ARG",2019,7399000,12706.3978108968,-2.00086100285785,NA,44973465
"Argentina","AR","ARG",2020,NA,11393.0505957877,-9.9004848136464,NA,45191965
"Australia","AU","AUS",1995,3726000,39407.5647528439,3.89017188961647,73.5284464149082,18004882
"Australia","AU","AUS",1996,4165000,40437.0941864857,3.86567479160071,80.3813656800586,18224767
"Australia","AU","AUS",1997,4318000,41569.1653679391,3.91795814771731,79.9674105183691,18423037
"Australia","AU","AUS",1998,4167000,43081.7201718179,4.67681373479508,73.256820103094,18607584
"Australia","AU","AUS",1999,4459000,44755.6599721318,5.02822035850596,73.5098171800325,18812264
"Australia","AU","AUS",2000,4931000,45979.0765654048,3.9160574881715,70.4442304396678,19028802
"Australia","AU","AUS",2001,4856000,46314.6235297968,2.03145880248898,67.5695648527208,19274701
"Australia","AU","AUS",2002,4841000,47599.4079289312,3.94980535772942,70.8600890877811,19495210
"Australia","AU","AUS",2003,4746000,48509.6632180363,3.0912800997751,79.3713139078405,19720737
"Australia","AU","AUS",2004,5215000,50018.5904483861,4.21894147547516,85.4220455748204,19932722
"Australia","AU","AUS",2005,5499000,50972.640519744,3.15548121323168,87.9653029435395,20176844
"Australia","AU","AUS",2006,5532000,51682.8925230537,2.7709261737475,87.239874588495,20450966
"Australia","AU","AUS",2007,5644000,52671.325846724,3.78947119882653,92.3333470254777,20827622
"Australia","AU","AUS",2008,5586000,53497.275355342,3.62398503565633,90.3741744859522,21249199
"Australia","AU","AUS",2009,5490000,53430.5274781651,1.95484826298522,87.5934334377878,21691653
"Australia","AU","AUS",2010,5790000,53768.349733441,2.21004795300735,100,22031750
"Australia","AU","AUS",2011,5771000,54296.2321324814,2.39473494330615,106.963712401072,22340024
"Australia","AU","AUS",2012,6032000,55465.4462872577,3.95247138119184,109.023245858131,22733465
"Australia","AU","AUS",2013,6482000,55966.1509270561,2.65445302592404,103.475469214371,23128129
"Australia","AU","AUS",2014,6922000,56571.8062524437,2.60118978187332,98.340757109951,23475686
